chunk_id,doc_title,section,page_start,page_end,text,source_url
sbdc-tx rd 3.2.08-p007-c01,Texas Roadmap to Starting a Business (SBDC),,7,7,"Guides and Company Information Business Information, by Michael Lavin Business Information Sources, by Lorna Daniels Directory of Corporate Affiliations Directory of Industry Data Sources, by Harfax Directory of U.S. Exporters Dun & Bradstreet Billion Dollar Directory; America’s Corporate Families Dun & Bradstreet Business Information Reports Dun & Bradstreet Million Dollar Directory Dun & Bradstreet Principal International Businesses Encyclopedia of Business Information Sources, edited by Paul Wasserman Encyclopedia of Small Business Resources, by David E. Gumpert and Jeffry A. Timmons Financial Analyst’s Handbook, by Sumner Levine MacMillan Directory of Leading Private Compa- nies Moody’s Manuals, such as Moody’s Industrial Manual Standard & Poor’s Corporation Records Standard & Poor’s Register of Corporations, Directors and Executives Thomas Register of American Manufacturers Value Line Investment Survey Ward’s Business Directory of U.S. Private and Public Companies World Almanac Overviews and General Industry Information Census Information, U.S. Department of Commerce County Business Patterns, U.S. Department of Commerce Current Industrial Reports, U.S. Department of Commerce Forbes Annual Report on American Industry Industry Surveys, Standard & Poor’s Corp. Inside U.S. Business, by Philip Mattera Moody’s Investors Industrial Review Standard & Poor’s Industry Surveys U.S. Industrial Outlook, U.S. Department of Commerce The Wall Street Transcript Statistics and Financial and Operating Ratios. Industry statistics are listed under the subject, statistics, in library catalogs, and under Standard Industrial Classification (SIC) code numbers in publications (see the Standard Industrial Classifica- tion Manual). Such information can also be ob- tained from trade associations. There are also guides to statistics, general collections of industry statistics, and sources of composite financial and operating ratios such as: Almanac of Business and Industrial Financial Ratios, published by Prentice-Hall American Statistics Index Analysts Handbook, Standard & Poor’s Corp. Annual Statement Studies, Robert Morris Associates Predicasts Basebook Competitive assessments of certain industries in the United States by the U.S. International Trade Administration County Business Patterns, U.S. Bureau of the Census Economic Indicators Encyclopedia of Business Information Sources, edited by Paul Wasserman Index to International Statistics Industry Norms and Key Business Ratios, Dun & Bradstreet Corp. Market Share Reporter Statistical Abstract of the United States, U.S. Bureau of the Census Statistical Reference Index Statistical Service, Standard & Poor’s Corp. Statistics",
sbdc-tx rd 3.2.08-p007-c02,Texas Roadmap to Starting a Business (SBDC),,7,7,"Annual Statement Studies, Robert Morris Associates Predicasts Basebook Competitive assessments of certain industries in the United States by the U.S. International Trade Administration County Business Patterns, U.S. Bureau of the Census Economic Indicators Encyclopedia of Business Information Sources, edited by Paul Wasserman Index to International Statistics Industry Norms and Key Business Ratios, Dun & Bradstreet Corp. Market Share Reporter Statistical Abstract of the United States, U.S. Bureau of the Census Statistical Reference Index Statistical Service, Standard & Poor’s Corp. Statistics Sources Studies of media and markets by Simmons Market Research Bureau Inc. (New York, N.Y .) Summary of Trade and Tariff Information, U.S. International Trade Administration U.S. Bureau of the Census publications on certain industries Projections and Forecasts. Listed under the subject in library catalogs and publications, such as: Predicasts F&S Index 6",
sbdc-tx rd 3.2.08-p008-c01,Texas Roadmap to Starting a Business (SBDC),,8,8,"Market Data. An overall guide to sources of data on consumer and industrial markets can be found in such publications as: Predicasts Basebook Data Sources for Business & Market Analysis, Scarecrow Press Findex (Cambridge Information Gap) Consumer Expenditures Data Editor & Publisher Market Guide Survey of Buying Power, published by Sales Management Inc. U.S. Census Reports (Business, Housing, etc.) Market Studies of particular industries and prod- ucts available from such companies as: Arthur D. Little Inc. (Cambridge, Mass.) Business Communications Co. (Stamford, Conn.) Frost & Sullivan Inc. (New York, N.Y .) Morton Research Corp. (Merrick, N.Y .) Predicasts (Cleveland, Ohio) Simmons Market Research Bureau (New York, N.Y.) Theta Technology Corp. (Wethersfield, Conn.) Data Services and Databases CompuServe Information Service Co. (Colum- bus, Ohio) Dialog Information Service Inc. (Knight-Ridder Inc.) Dow Jones News/Retrieval Service (Dow Jones & Co.) Lexis, Nexis, Mesis (Reed Elsevier) AOL (Vienna, VA) Newsnet (Bryn Maw, PA) Prodigy (Medford, MA) Data Star (Night Ridder, Inc.) Internet Magazine and Newspaper Articles published by trade associations, government agencies and commercial publishers. Lists can be found by consulting periodical indexes and directories, such as: Applied Science and Technology Index Business Periodicals Index The Directory of Directories Encyclopedia of Business Information Sources Guide to Special Issues and Indexes of Periodicals New York Times Index Predicasts F&S Index Public Affairs Information Service Bulletin Standard Periodical Directory The Wall Street Journal Index Internet Resources www.biztalk.com www.businesstown.com www.onlinesoho.com/soho_links.htm www.businessownersideacafe.com/ starting_business/index/php www.powerhomebiz.com/vol18/scratch/htm www.RhondaWorks.com www.inc.com www.entrepreneurmag.com www.tded.state.tx.us www.bcentral.com www.morebusiness.com Other Sources Ayer Directory of Newspapers, Magazines and Trade Publications Books and other material listed in library catalogues under the industry name Brokerage house reports CIRR: Company & Industry Research Reports Congressional Information Service Encyclopedia of Trade Associations Financial Studies of the Small Business 7",
sbdc-tx rd 3.2.08-p008-c02,Texas Roadmap to Starting a Business (SBDC),,8,8,Financial Studies of the Small Business 7,
sbdc-tx rd 3.2.08-p009-c01,Texas Roadmap to Starting a Business (SBDC),,9,9,"Library of Congress—suggested headings: small business management, new business enter- prise, entrepreneurship, entrepreneurs, management, marketing strategy, business ethics, and corporations. NASA Industrial Applications Centers and several universities, such as Southeastern Oklahoma State University, the University of New Mexico, the University of Southern California, and the University of Pittsburgh provide technically oriented reports, studies and literature searches National Trade and Professional Associations of the United States and Canada and Labor Unions Small Business Sourcebook The Source Book of Demographics and Buying Power for Every Zip Code in the U.S.A. The Sourcebook of Zip Code Demographics Yellow Pages Biographical Dun & Bradstreet Reference Book of Corpora- tion Managements Standard & Poor’s Register of Corporations, Directors and Executives Who’s Who directories Source: New Venture Creation, Entrepreneurship in the 1990s, by Jeffry A. Timmons with Leonard E. Smollen and Alexander L.M. Dingee Jr. Published by Irwin. 8",
sbdc-tx rd 3.2.08-p010-c01,Texas Roadmap to Starting a Business (SBDC),,10,10,"Generally, secondary research sources do not provide all the information you need, and you will have to collect new data. Primary sources range from networking to formal surveys. They include customer and supplier surveys, networking, focus group discussions and interviews with customers, competitors and suppliers. Talking to competitors, suppliers, and customers also constitutes primary research. Primary research is particularly necessary when trying to determine your target market and in developing client profiles. Also, primary research helps you learn about your customers’ buying habits and opinions of your product or service. You don’t need a degree in market research to succeed in collecting primary data. Consult these recommended publications for information on conducting primary research. Practical Marketing Research by Jeffrey Pope. An excellent introductory resource for conducting primary research. Discusses various research methods, writing a questionnaire and interview- ing guidelines. Also includes a section on solving specific marketing problems, including new product research, advertising research, simulated sales testing and product positioning research. Published by AMA COM, a division of the American Management Association, 1993. Mail and Telephone Surveys—The Total Design Method by Don A. Dillman. Provides step-by-step instructions to conducting and implementing mail and telephone sur- veys. Also includes a section on developing effective cover letters and increasing response rates. Published by John Wiley & Sons, 1978. Your Competitors The next step in your market analysis is to identify your direct competition. Describe the differences and similarities between your opera- tions and theirs. Discuss their business concept. What are their target markets? How do they reach these markets? Describe their strengths and weak- nesses, and rate their performance in critical competitive categories. Is their business growing or declining? Learn all you can about your competition. You can use many of the same secondary resources listed on page 5 - 9. Review financial ratios for the industry as discussed in Robert Morris Associates Annual Statement Studies, pricing strategies and revenues of similar businesses. Assume the role of a potential customer and “shop” your competition. If this is difficult for you, send a friend. Interview the owner of a similar business in another city or trade area. Talk to your competitors’ customers and",
sbdc-tx rd 3.2.08-p010-c02,Texas Roadmap to Starting a Business (SBDC),,10,10,"can about your competition. You can use many of the same secondary resources listed on page 5 - 9. Review financial ratios for the industry as discussed in Robert Morris Associates Annual Statement Studies, pricing strategies and revenues of similar businesses. Assume the role of a potential customer and “shop” your competition. If this is difficult for you, send a friend. Interview the owner of a similar business in another city or trade area. Talk to your competitors’ customers and suppliers. Compile a competitor profile using the informa- tion you’ve gathered. Who are they? How long have they been in business? Where are they lo- cated? What is their product or service? What are their prices? What is the quality level of their product or service? When are they open? You also want to investigate significant substi- tutes for your product or service. Customers may prefer to satisfy their needs in other ways with other types of products. Use the grid on the following page to help you organize your data. Your Competitive Strategy Now that you’ve learned about your competi- tion, compare how your operation differs from theirs. Develop strategies for gaining your share of the existing market by answering the following questions. What market niche will you fill? How will your product or service be different and better than your competition? How do you plan to compete? How will you defend against your competitors’ strengths? 9",
sbdc-tx rd 3.2.08-p011-c01,Texas Roadmap to Starting a Business (SBDC),,11,11,"How are you going to price your product or service compared to your competitors? How will you gain market share? How will you take advantage of your competi- tors’ weaknesses? Your Suppliers Knowing your suppliers and how they can deliver is critical to your competitive strategy. If one or two suppliers dominate the market it may affect your ability to negotiate favorable terms. It is important to know about unreliable suppliers or those that face a financially precarious situation. You can investigate your future suppliers by calling the Better Business Bureau, performing a credit check, collecting information sheets from such companies as Dun & Bradstreet, or asking other entrepreneurs who have used them how they would rate the supplier. By performing this due diligence on your supplier, you will be able to answer the following questions. How big are they? How long have they been in business? Where are they located? What are their hours? What is the company’s reputation? Who are their customers? Do they work with small businesses? Are they interested in working with you? Your Market To be successful, your business cannot be every- thing to all consumers. You must identify those markets that can most value your products or services. Your market can be segmented based on demographics, geographics, buying history, per- sonal characteristics, or almost anything that ties a group together. Your first step is to define your trade area, the geographic area that your business will serve. Is yours a neighborhood business that operates in a local area with one or a few zip codes? Or do you plan to service a city, county or several counties? Do you require a statewide or national market? Describe the current business conditions in your trade area. Is your trade area in a growth pattern with existing businesses expanding, new businesses growing, and commercial and residential construc- tion booming? Or is your trade area experiencing a contraction with employees losing jobs and con- struction equipment idle? A key question is whether or not your product or service is already available in your trade area. This could signify a good market opportunity, or it could be a warning",
sbdc-tx rd 3.2.08-p011-c02,Texas Roadmap to Starting a Business (SBDC),,11,11,"market? Describe the current business conditions in your trade area. Is your trade area in a growth pattern with existing businesses expanding, new businesses growing, and commercial and residential construc- tion booming? Or is your trade area experiencing a contraction with employees losing jobs and con- struction equipment idle? A key question is whether or not your product or service is already available in your trade area. This could signify a good market opportunity, or it could be a warning flag that others have tried your idea and found the area unsuitable for lack of market demand, political reasons or legal issues. Your next step is to define your target market, the market segment that offers the most opportu- nity for your product or service. A typical business makes 80 percent of its sales to 20 percent of its customers. By identifying that critical 20 percent, you can focus your efforts and expenditures on the consumer group that will give you the most return on your investment. In re- searching this target market, you will learn about your primary customers’ needs and how to satisfy them. You should also study this group’s buying habits to learn how to reach them with your promotional message. Customer profile. Describe your selected cus- tomer market in terms of physical characteristics, needs and lifestyle. Place a face on your typical customer. What specific benefits does he or she seek? What personal needs or results will your product satisfy? You also need to know about the individuals who make buying decisions. The person who buys your product and the one who uses it may be different. A good example: Adults buy breakfast 10",
sbdc-tx rd 3.2.08-p012-c01,Texas Roadmap to Starting a Business (SBDC),,12,12,"cereal, but children eat it and thereby may control the buying decision. If you are selling a product or service to a consumer, the following are typical questions to ask in developing a customer profile. Who is your primary customer? Male? Female? Both? Business? Government Agency? etc. Why do they buy? How do they buy? Cash? Credit? Charge? When do they buy? Daily? Weekly? Monthly? Occasionally? What customer services do they value most? How much do they buy? Why will they buy from you? What is their income or revenue? What is their age range? Where are they located? What is their profession or industry? Target Market Preferences. Most consumers make purchasing decisions based on how they value convenience, service, quality, price or exper- tise. Most small businesses stand out because the owner gives personal service. Customers value someone who makes a courteous and personal effort to provide special items or timely service. Small businesses have an advantage here because often they can provide this more efficiently than large companies. It may be difficult for small businesses to com- pete on price because larger, established competi- tors usually have economies of scale and deeper pockets. Large businesses can typically outlast the Marketing Program OtherLocationServicePriceQualityProduct/ Service Your Business Competitor #1 Competitor #2 Competitor #3 Comparative Competitor Analysis 11",
sbdc-tx rd 3.2.08-p013-c01,Texas Roadmap to Starting a Business (SBDC),,13,13,"new entrant in a price war. It is also hard for a new business to successfully offer products or services at the highest price levels because this requires an established reputation to qualify the “status” or “value” of the offering. Most small business owners find it easier to compete on a medium price level. Look at your situation carefully and select the preference that your potential clients consider the most important. Market Demand. Determining market demand is critical because if demand is lacking, you need to reevaluate your business idea. To estimate the total demand for your product or service, consider the current sales volume and growth potential for your product or service. Knowing the answers to the following questions will help you determine market demand for your product or service. How many competing firms are located in your trade area and how much business do they do? What are their sizes? Are these businesses stable? Growing? Shrinking? What are the population characteristics of your designated trade area? How many consumers are there? What is their buying capacity? What is their need for your product or service? What percent of the market will you have? What is your market’s growth potential? Your research may show that the market is too small to support another business or it is shrinking or growing faster than you thought. You may need to readjust your strategies. The Marketing Mix From time to time, review your original business definition. It may need refining based on the information you’ve gathered and the marketing mix framework. Marketing Mix: The Four P’s Product Price Promotion Place These elements must be “right” for your business to be successful. That is, you must offer the right product or service at the right price using the right promotional efforts at the right place and time. Price. To pinpoint the right price, you need a combination of experience, market knowledge and good judgment. Study your competitors’ pricing and estimate your costs. Can you price your product or service competitively and still cover costs? Consider the following factors to determine the best price for your product or service. Are prices in your industry",
sbdc-tx rd 3.2.08-p013-c02,Texas Roadmap to Starting a Business (SBDC),,13,13,"is, you must offer the right product or service at the right price using the right promotional efforts at the right place and time. Price. To pinpoint the right price, you need a combination of experience, market knowledge and good judgment. Study your competitors’ pricing and estimate your costs. Can you price your product or service competitively and still cover costs? Consider the following factors to determine the best price for your product or service. Are prices in your industry stable or do they fluctuate? Must your clients buy from you or is it just as easy to buy from your competitors? How much are your potential customers willing to pay? Remember, your customers ultimately determine pricing. They will be willing to buy from you within a specific price range. If your costs exceed this price range, don’t assume that you can pass the difference onto your customers. Place. How will you distribute your product or service? Will it be direct or through wholesalers or other intermediaries? Where will your business be located? What are the traffic counts at the location, and is this important for your business? For some businesses, location is all-important, and the wrong location can undermine an other- wise sound business. On the other hand some 12",
sbdc-tx rd 3.2.08-p014-c01,Texas Roadmap to Starting a Business (SBDC),,14,14,"businesses don’t need a fancy, expensive location if customers buy from distributors or other outlets and never see the office. If location is critical to your business, invest the time and effort to find the best location you can afford. Realtors know about commercial property, but they may be unfamiliar with your business needs, so don’t rely on their recommendations alone. Talk to other advisors. Consider these questions: Where are your custom- ers located? How will they get to your place of business? What are the traffic and pedestrian counts for the location? Promotional Strategy. Your advertising and promotional strategy affects both your ability to sell and your business or cost structure. You don’t need a full blown promotional plan now, but it would be helpful to review the following questions. How will you tell your customers about your product or service? Will you need to educate your customers about the benefits of your product or service? Based on your target market’s demographics and buying habits, what are the best ways to reach them? What will gain your customers’ interest and hold their attention? Which advertising media will maximize the return per dollar spent? How do your competitors promote their prod- uct or service? What are the pros and cons of their methods? How much promotion can you afford and for how long? Key Success Factors. Many businesses, although founded on good ideas and sound objectives, fail because they lack critical success factors necessary to survive in their market segment. These factors vary in each industry and market segment. What does it take to make it in your market? Some key factors might be: Quality Capital Precise product or Service T echnology service identification Price Advertising Precise market Expertise Suppliers identification Location Distribution Personal Skills Analysis Your next task is to define the many resources you may need to start your venture. These range from particular technical skills or management experience to legal requirements and start-up costs to sources of funding. Technical Skills. These skills are unique to each type of business. For example, printers need to know how to operate a printing press, and oil well drillers need to",
sbdc-tx rd 3.2.08-p014-c02,Texas Roadmap to Starting a Business (SBDC),,14,14,"T echnology service identification Price Advertising Precise market Expertise Suppliers identification Location Distribution Personal Skills Analysis Your next task is to define the many resources you may need to start your venture. These range from particular technical skills or management experience to legal requirements and start-up costs to sources of funding. Technical Skills. These skills are unique to each type of business. For example, printers need to know how to operate a printing press, and oil well drillers need to understand geology. Do you have the skills to produce the product or render the service? Businesses are often founded on an entrepreneur’s technical strengths. Experience and Knowledge. Describe three critical skills or knowledge areas necessary to run your business. How much experience do you have in this type of venture? Do you have the experience and ability necessary to make good operating decisions? Every successful business needs a complex mix of management skills in many business areas, includ- ing marketing, financial analysis, operations, purchasing and personnel. Do you have the man- agement skills to successfully lead a business venture? Keep in mind that no one can be a perfect manager, but most new businesses fail because of poor management so it’s important to be honest with yourself. Consider your management strengths and weaknesses, then decide if you need to gain additional experience or knowledge or should hire someone whose strengths balance your weaknesses. People make the difference in a company’s performance. Good employees can make a mar- ginal business better, and poor employees can 13",
sbdc-tx rd 3.2.08-p015-c01,Texas Roadmap to Starting a Business (SBDC),,15,15,"destroy an excellent business. Time Commitment. Owning a business can be a wonderful opportunity to be your own boss, to take charge of your financial future and to work seven days-a-week for nearly 24-hours-a-day with no one to hand you a paycheck at the end of the week. Are you prepared for the personal demands and sacrifices of running your own business? Use the following questions to decide if this is a good time to become a business owner. Are you willing to work long hours and sacrifice leisure time? How much time will the business require? (Most business owners work at least 60 hours a week.) How much time can you spend on your busi- ness? How long before you make a profit? How long before you draw a salary? Do you have personal family circumstances that would prevent you from totally focusing on your business now? In answering these questions, you might find that you’re not ready to start a business. Don’t be discouraged. Although the time may be wrong now, you might be prepared in six months or a year. Legal Issues. You must consider numerous legal issues when starting a business. You may need licenses, permits or certifications. Do you have what you need? If not, can you meet the require- ments to get them? You’ll have to decide how to structure your business (sole proprietorship, partnership, corpora- tion, etc.). Additionally, you should secure protec- tion for proprietary products or services, such as patents, trademarks and copyrights. For detailed information about legal issues, see Chapter 4 of this workbook. Financing Needs Your next task in the feasibility study is to determine how much money you will need to start and operate your business until it is profitable. Begin by estimating your start-up costs and how much money you need to operate your business for a year. Make a list of special equipment needed and the cost to buy or lease it. Also list one-time start-up costs, including real estate purchase, furniture, fixtures, equipment, starting inventory, utility and lease deposits, equipment installation charges and grand opening promotions. Don’t forget to include your insurance expenses as well. Insurance",
sbdc-tx rd 3.2.08-p015-c02,Texas Roadmap to Starting a Business (SBDC),,15,15,"need to start and operate your business until it is profitable. Begin by estimating your start-up costs and how much money you need to operate your business for a year. Make a list of special equipment needed and the cost to buy or lease it. Also list one-time start-up costs, including real estate purchase, furniture, fixtures, equipment, starting inventory, utility and lease deposits, equipment installation charges and grand opening promotions. Don’t forget to include your insurance expenses as well. Insurance needs to be discussed with an insurance professional with specific industry knowledge. Insurance Options Mandatory: Automobile Essential: Liability, fire, product liability, and workers compensation Desirable: Crime, health, business interrup- tion, key personnel, disability and bonding Consider the pros and cons of purchasing all or part of an existing business. Sometimes, this alternative can make some aspects of starting a business easier or less expensive. Sales/Revenues. Forecast your estimated sales/ revenues for each month during the first year. You must forecast sales, costs and profits using assump- tions drawn from your market research. Put these assumptions in writing. Break-Even Analysis. Use the following formula to calculate the amount of sales and/or revenue needed to cover your business’ total fixed and variable costs for the first year. The break-even point is where there is no profit and no loss. Break Even = Fixed Costs Selling Price - Variable Costs (per unit) or Revenue - Costs & Expenses = $0 14",
